title	sound	episodetype	episodenumber	episodedate	time	person	timestampurl	image
Saudia Arabia and Russia will re-be-doog awhhh	Trump_SaudiArabiaAndRussiaWillReBeDoop.mp3	OTR	107	03-06-2024	5467	Donald Trump	https://www.youtube.com/watch?v=7H2vgnSz0tg&t=5467	
Shut up silly woman	Trump_ShutupSillyWoman.mp3	OTR	98	12-13-2023	2962	Donald Trump	https://www.youtube.com/watch?v=vL8FTN9O4ms&t=2962	
Turn up the mic!!	Trump_TurnUpTheMic.mp3	Leftovers	61	10-12-2023	12819	Donald Trump	https://www.youtube.com/watch?v=JFznOHunD_c&t=12819	
Dont call him a fat pig	Trump_DontCallHimAFatPig.mp3	Leftovers	54	08-10-2023	6657	Donald Trump	https://www.youtube.com/watch?v=Pi6I56w96nE&t=6657	
EXTREMELY WET	Trump_ExtremelyWet.mp3	Leftovers	54	08-10-2023	6581	Donald Trump	https://www.youtube.com/watch?v=Pi6I56w96nE&t=6581	
Its about 104 or 5 degrees in this room	Trump_Its104Or5DegressInThisRoom.mp3	Leftovers	54	08-10-2023	6581	Donald Trump	https://www.youtube.com/watch?v=Pi6I56w96nE&t=6581	
Please do not call him a fat pig	Trump_PleaseDoNotCallHimAFatPig.mp3	Leftovers	54	08-10-2023	6657	Donald Trump	https://www.youtube.com/watch?v=Pi6I56w96nE&t=6657	
I did everything right and the indicted me	DonaldTrump_IDidEverythingRightAndTheyIndictedMe.mp3	Leftovers	50	06-15-2023	2458	Donald Trump	https://www.youtube.com/watch?v=GURoXvLOmYA&t=2458	
We need to keep our country gay brup bup	DonaldTrump_KeepOurCountryGayAgainBupBup.mp3	AfterDark	87	10-07-2022	2498	Donald Trump	https://www.youtube.com/watch?v=Cjv07aA7WFw&t=2498	
Dan please stand up	DonaldTrump_DanPleaseStandUp.mp3	OTR	22	12-15-2021	3973	Donald Trump	https://www.youtube.com/watch?v=tI_5oCeF_g4&t=3973	
